City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
141,Tobermory,CA,2022-06-17 21:45:23,45.2501,-81.6665,53.2,79,14,20.69
142,Sao Filipe,CV,2022-06-17 21:45:23,14.8961,-24.4956,74.97,76,7,8.32
143,Broken Hill,AU,2022-06-17 21:45:24,-31.95,141.4333,45.93,79,0,6.04
144,Monrovia,LR,2022-06-17 21:45:24,6.3005,-10.7969,78.26,80,100,17.22
145,Port Lincoln,AU,2022-06-17 21:43:44,-34.7333,135.8667,53.4,67,3,13.82
146,Rio Grande,BR,2022-06-17 21:45:25,-32.035,-52.0986,55.51,74,100,17.38
147,Lavrentiya,RU,2022-06-17 21:45:25,65.5833,-171.0,47.82,61,16,2.57
148,Osakarovka,KZ,2022-06-17 21:45:25,50.565,72.5692,60.42,65,42,3.2
149,Fort Nelson,CA,2022-06-17 21:45:17,58.8053,-122.7002,63.99,63,75,12.66
150,Hofn,IS,2022-06-17 21:45:26,64.2539,-15.2082,49.33,77,100,18.28
151,Bonthe,SL,2022-06-17 21:45:26,7.5264,-12.505,73.51,95,100,7.36
152,Comodoro Rivadavia,AR,2022-06-17 21:45:27,-45.8667,-67.5,48.06,43,0,26.46
153,Dingle,PH,2022-06-17 21:45:27,10.9995,122.6711,79.21,84,100,1.57
154,Kaitangata,NZ,2022-06-17 21:45:27,-46.2817,169.8464,41.04,84,74,9.01
155,Tecoanapa,MX,2022-06-17 21:45:28,16.5167,-98.75,81.57,74,97,12.35
156,Verkhoyansk,RU,2022-06-17 21:45:28,67.5447,133.385,54.0,40,51,0.4
157,Letlhakane,BW,2022-06-17 21:45:28,-21.4167,25.5833,52.79,42,0,7.11
158,Dong Hoi,VN,2022-06-17 21:44:44,17.4833,106.6,82.89,74,37,9.84
159,Parakou,BJ,2022-06-17 21:45:29,9.3372,2.6303,72.18,90,56,2.82
160,Lagos,NG,2022-06-17 21:43:19,6.5833,3.75,75.52,96,100,4.07
161,Sal Rei,CV,2022-06-17 21:45:29,16.1833,-22.9167,73.27,86,14,20.87
162,San Patricio,US,2022-06-17 21:45:30,28.017,-97.5169,95.72,43,18,16.15
163,Abakaliki,NG,2022-06-17 21:45:30,6.3163,8.1169,71.8,95,100,4.34
164,Gushikawa,JP,2022-06-17 21:45:30,26.3544,127.8686,76.62,91,75,6.91
165,Yurga,RU,2022-06-17 21:45:31,55.7231,84.8861,55.45,98,100,8.3
166,Rethimnon,GR,2022-06-17 21:45:31,35.3647,24.4714,73.02,55,0,2.19
167,Kalmunai,LK,2022-06-17 21:45:31,7.4167,81.8167,78.33,83,100,7.92
168,Port Macquarie,AU,2022-06-17 21:45:32,-31.4333,152.9167,45.9,80,35,12.86
169,Bandarbeyla,SO,2022-06-17 21:45:32,9.4942,50.8122,77.25,84,70,27.51
170,Tala,EG,2022-06-17 21:45:33,30.6803,30.9429,70.99,90,0,6.96
171,Cherskiy,RU,2022-06-17 21:45:33,68.75,161.3,52.32,41,66,10.2
172,Kieta,PG,2022-06-17 21:45:33,-6.2167,155.6333,81.68,73,79,2.17
173,Emba,KZ,2022-06-17 21:45:34,48.8264,58.1442,70.63,50,80,5.17
174,Kodiak,US,2022-06-17 21:41:02,57.79,-152.4072,53.11,87,100,12.66
175,Eyrarbakki,IS,2022-06-17 21:45:34,63.863,-21.1481,48.25,82,83,23.04
176,Flin Flon,CA,2022-06-17 21:45:34,54.7682,-101.865,60.64,44,100,6.91
177,Maine-Soroa,NE,2022-06-17 21:45:35,13.2114,12.0241,82.47,54,92,12.35
178,Mehamn,NO,2022-06-17 21:46:35,71.0357,27.8492,40.95,87,75,2.3
179,Ilulissat,GL,2022-06-17 21:46:35,69.2167,-51.1,39.22,87,75,5.75
180,Wanning,CN,2022-06-17 21:46:36,18.8003,110.3967,81.03,92,19,11.61
181,Nikolskoye,RU,2022-06-17 21:46:36,59.7035,30.7861,53.78,86,99,5.06
182,Guarda,PT,2022-06-17 21:46:06,40.5373,-7.2658,60.06,53,10,0.45
183,Cuicatlan,MX,2022-06-17 21:46:37,17.8,-96.9667,86.86,43,25,8.34
184,Hithadhoo,MV,2022-06-17 21:46:37,-0.6,73.0833,82.13,72,100,6.93
185,Hamada,JP,2022-06-17 21:46:37,34.8833,132.0833,72.19,81,57,1.97
186,Banda Aceh,ID,2022-06-17 21:46:38,5.5577,95.3222,79.68,79,93,6.15
187,Kansanshi,ZM,2022-06-17 21:46:38,-12.0951,26.4273,55.0,55,14,2.26
188,Izumo,JP,2022-06-17 21:46:38,35.3667,132.7667,69.69,88,40,4.61
189,Caravelas,BR,2022-06-17 21:46:39,-17.7125,-39.2481,68.4,88,3,4.74
190,Khatanga,RU,2022-06-17 21:46:39,71.9667,102.5,52.84,68,89,19.66
191,Sao Gabriel Da Cachoeira,BR,2022-06-17 21:46:39,-0.1303,-67.0892,77.68,89,62,2.8
192,Lorengau,PG,2022-06-17 21:46:40,-2.0226,147.2712,81.59,81,100,10.36
193,Luderitz,NA,2022-06-17 21:46:40,-26.6481,15.1594,54.84,89,0,7.54
194,Chokurdakh,RU,2022-06-17 21:46:41,70.6333,147.9167,39.49,69,100,8.52
195,Tual,ID,2022-06-17 21:46:41,-5.6667,132.75,82.36,76,43,18.72
196,Xining,CN,2022-06-17 21:46:41,36.6167,101.7667,57.79,50,100,2.51
197,Bitung,ID,2022-06-17 21:46:42,1.4451,125.1824,74.25,82,75,2.3
198,Kollegal,IN,2022-06-17 21:46:42,12.15,77.1167,70.83,92,100,6.31
199,Christchurch,NZ,2022-06-17 21:43:36,-43.5333,172.6333,42.91,91,75,9.22
200,Oistins,BB,2022-06-17 21:44:29,13.0667,-59.5333,84.29,65,20,17.27
201,Moyotzingo,MX,2022-06-17 21:46:43,19.25,-98.4,73.31,32,24,4.56
202,Shimoda,JP,2022-06-17 21:46:43,34.6667,138.95,72.1,91,100,6.33
203,Bara,NG,2022-06-17 21:46:43,10.3744,10.7288,73.26,83,70,8.88
204,Coihaique,CL,2022-06-17 21:42:08,-45.5752,-72.0662,40.95,70,75,4.61
205,Ruteng,ID,2022-06-17 21:46:44,-8.6136,120.4721,60.66,91,47,1.95
206,Torbay,CA,2022-06-17 21:43:44,47.6666,-52.7314,59.77,68,20,10.36
207,Bambous Virieux,MU,2022-06-17 21:46:44,-20.3428,57.7575,69.22,94,20,6.91
208,Filingue,NE,2022-06-17 21:46:45,14.3521,3.3168,85.08,51,100,7.38
209,Sungaipenuh,ID,2022-06-17 21:46:45,-2.0833,101.3833,63.27,98,96,1.23
210,Richards Bay,ZA,2022-06-17 21:46:45,-28.783,32.0377,56.07,54,0,7.85
211,Leningradskiy,RU,2022-06-17 21:46:46,69.3833,178.4167,39.49,69,62,6.35
212,Kailua,US,2022-06-17 21:46:46,21.4022,-157.7394,84.18,66,75,12.66
213,Umm Kaddadah,SD,2022-06-17 21:46:46,13.6017,26.6876,91.27,17,14,14.9
214,Havoysund,NO,2022-06-17 21:46:47,70.9963,24.6622,43.03,71,99,12.59
215,Muros,ES,2022-06-17 21:46:47,42.7762,-9.0603,67.08,91,46,4.23
216,Marawi,PH,2022-06-17 21:46:47,7.9986,124.2928,69.03,93,58,2.37
217,Boyany,UA,2022-06-17 21:46:48,48.2708,26.1262,60.33,91,21,6.91
218,Dukat,RU,2022-06-17 21:46:48,62.55,155.55,48.78,65,99,0.38
219,Aviles,ES,2022-06-17 21:46:49,43.5547,-5.9248,75.38,77,0,7.0
220,Tessalit,ML,2022-06-17 21:46:49,20.1986,1.0114,86.76,37,99,3.04
221,Naron,ES,2022-06-17 21:46:49,43.5167,-8.1528,67.59,95,96,1.48
222,Davila,PH,2022-06-17 21:46:50,18.4726,120.5763,76.98,72,78,3.2
223,Brookhaven,US,2022-06-17 21:42:29,31.5791,-90.4407,95.25,44,32,1.83
224,Kahului,US,2022-06-17 21:46:50,20.8947,-156.47,87.82,58,40,21.85
225,Gravenhurst,CA,2022-06-17 21:46:50,44.9168,-79.3663,67.57,55,100,21.85
226,Karapyshi,UA,2022-06-17 21:47:51,49.6424,30.79,56.37,98,100,5.7
227,Chuy,UY,2022-06-17 21:47:51,-33.6971,-53.4616,50.67,51,45,15.57
228,La Ronge,CA,2022-06-17 21:47:51,55.1001,-105.2842,59.25,67,75,16.11
229,Sarkand,KZ,2022-06-17 21:47:52,45.41,79.9186,61.05,45,3,7.0
230,Yerbogachen,RU,2022-06-17 21:47:52,61.2767,108.0108,61.72,62,100,6.78
231,Butaritari,KI,2022-06-17 21:47:53,3.0707,172.7902,82.4,77,12,15.17
232,Bengkulu,ID,2022-06-17 21:47:53,-3.8004,102.2655,74.89,91,91,7.29
233,Shahreza,IR,2022-06-17 21:47:53,32.0339,51.8794,72.37,24,0,4.65
234,Ciudad Bolivar,VE,2022-06-17 21:47:54,8.1222,-63.5497,79.52,78,95,14.81
235,Obidos,BR,2022-06-17 21:47:54,-1.9175,-55.5181,77.79,69,7,1.3
236,San Cristobal,VE,2022-06-17 21:47:55,7.7669,-72.225,80.78,63,83,4.32
237,Srednekolymsk,RU,2022-06-17 21:47:55,67.45,153.6833,61.32,31,100,7.87
238,Beitbridge,ZW,2022-06-17 21:47:55,-22.2167,30.0,59.61,54,0,4.76
239,Zyryanka,RU,2022-06-17 21:47:56,65.75,150.85,60.06,46,59,15.55
240,Berdigestyakh,RU,2022-06-17 21:47:56,62.0989,126.6992,60.84,59,11,3.0
241,Mpika,ZM,2022-06-17 21:47:56,-11.8343,31.4529,53.96,83,13,5.53
242,Port Hawkesbury,CA,2022-06-17 21:47:57,45.6169,-61.3485,63.79,81,100,11.5
243,Atocha,BO,2022-06-17 21:47:57,-20.9333,-66.2333,37.26,15,0,12.26
244,Saskylakh,RU,2022-06-17 21:47:58,71.9167,114.0833,57.6,85,100,7.85
245,Westport,US,2022-06-17 21:47:58,41.1415,-73.3579,89.58,43,0,19.57
246,Dicabisagan,PH,2022-06-17 21:47:58,17.0818,122.4157,80.2,85,51,4.25
247,Ahipara,NZ,2022-06-17 21:47:59,-35.1667,173.1667,59.13,94,100,8.16
248,Amaru,RO,2022-06-17 21:47:59,44.9333,26.5833,64.26,73,98,13.2
249,Alofi,NU,2022-06-17 21:47:59,-19.0595,-169.9187,76.89,88,61,17.27
250,Sabang,ID,2022-06-17 21:48:00,5.8933,95.3214,82.58,73,100,7.96
251,Anadyr,RU,2022-06-17 21:48:00,64.75,177.4833,59.5,58,20,6.71
252,Yasnyy,RU,2022-06-17 21:48:01,51.0333,59.8742,66.4,62,35,7.18
253,Sarana,RU,2022-06-17 21:48:01,56.4773,57.7259,57.69,93,100,2.64
254,Hasaki,JP,2022-06-17 21:48:01,35.7333,140.8333,70.2,80,100,4.38
255,Jurm,AF,2022-06-17 21:48:02,36.8648,70.8342,62.91,59,61,1.32
256,Vestmanna,FO,2022-06-17 21:48:02,62.1564,-7.1664,47.32,93,100,12.66
257,Vostok,RU,2022-06-17 21:48:03,46.4856,135.8833,55.2,100,100,1.81
258,Antigonish,CA,2022-06-17 21:48:03,45.6169,-61.9986,65.82,87,97,8.01
259,Marfino,RU,2022-06-17 21:48:04,55.7028,37.3822,56.95,79,0,6.71
260,Chumikan,RU,2022-06-17 21:48:04,54.7183,135.315,39.04,95,100,4.05
261,Camacupa,AO,2022-06-17 21:48:05,-12.0167,17.4833,56.93,43,35,3.4
262,Pemberton,CA,2022-06-17 21:43:41,50.3164,-122.8027,73.08,31,92,2.13
263,Ketchikan,US,2022-06-17 21:48:05,55.3422,-131.6461,63.07,59,0,8.05
264,Ixtapa,MX,2022-06-17 21:48:05,20.7,-105.2,83.43,74,75,16.11
265,Whitehorse,CA,2022-06-17 21:48:06,60.7161,-135.0538,76.1,29,40,12.66
266,Kaeo,NZ,2022-06-17 21:48:07,-35.1,173.7833,58.32,97,100,8.7
267,Georgetown,MY,2022-06-17 21:45:17,5.4112,100.3354,78.73,97,20,2.3
268,Tateyama,JP,2022-06-17 21:48:07,34.9833,139.8667,72.1,85,100,5.37
269,Port Shepstone,ZA,2022-06-17 21:48:07,-30.7414,30.455,57.96,54,0,7.07
270,Cabo San Lucas,MX,2022-06-17 21:47:38,22.8909,-109.9124,90.7,66,74,7.43
271,Andenes,NO,2022-06-17 21:48:08,69.3143,16.1194,46.38,87,0,14.97
272,Nantucket,US,2022-06-17 21:49:08,41.2835,-70.0995,71.71,94,100,16.11
273,Grindavik,IS,2022-06-17 21:49:09,63.8424,-22.4338,48.67,81,75,25.32
274,Voh,NC,2022-06-17 21:49:09,-20.9667,164.7,73.33,90,100,4.79
275,Ambovombe,MG,2022-06-17 21:49:09,-25.1667,46.0833,61.45,72,9,4.12
276,Clarence Town,AU,2022-06-17 21:49:10,-32.5833,151.7833,54.86,88,96,5.03
277,Samana,DO,2022-06-17 21:49:10,19.2056,-69.3369,84.42,79,75,0.0
278,Kanniyakumari,IN,2022-06-17 21:49:11,8.0833,77.5667,80.13,82,100,15.1
279,Nemuro,JP,2022-06-17 21:45:43,43.3236,145.575,51.73,96,99,2.06
280,Saint Anthony,US,2022-06-17 21:49:11,45.0205,-93.218,84.9,34,0,10.36
281,Kiama,AU,2022-06-17 21:49:11,-34.6833,150.8667,57.0,70,97,5.01
282,Wangou,CN,2022-06-17 21:49:12,42.0623,126.9127,57.92,99,100,2.21
283,Yagodnoye,RU,2022-06-17 21:49:12,62.55,149.6667,57.24,38,70,3.31
284,Anchorage,US,2022-06-17 21:45:51,61.2181,-149.9003,65.08,65,100,10.36
285,Nishihara,JP,2022-06-17 21:49:13,26.1842,127.7558,76.68,88,75,13.8
286,Belmonte,BR,2022-06-17 21:49:13,-15.8631,-38.8828,71.33,82,16,4.45
287,Kuah,MY,2022-06-17 21:49:14,6.3265,99.8432,78.78,89,20,0.0
288,Wembley,AU,2022-06-17 21:49:14,-31.9333,115.8,59.14,88,75,20.71
289,Seguin,US,2022-06-17 21:47:39,29.5688,-97.9647,99.91,39,75,8.05
290,Hurghada,EG,2022-06-17 21:49:15,27.2574,33.8129,87.84,30,0,8.05
291,Belawan,ID,2022-06-17 21:49:15,3.7755,98.6832,77.29,95,100,7.9
292,Sisimiut,GL,2022-06-17 21:49:16,66.9395,-53.6735,36.52,96,92,1.72
293,Victoria,HK,2022-06-17 21:46:40,22.2855,114.1577,84.38,85,99,10.0
294,San Policarpo,PH,2022-06-17 21:49:16,12.1791,125.5072,82.53,79,68,8.41
